file	artist	title	date_added	year	genre	guitar	rig	notion_id
AC_DC - Highway To Hell.gp	AC_DC	Highway To Hell	12-22-2025	1979	Rock	Gibson SG	AMP UK 50 JP/Drive	f6df4ebe-4b6d-4a0a-9c97-ba1b0dd885e0
AC_DC - Thunderstruck.gp	AC_DC	Thunderstruck	12-21-2025	1990	Rock	Gibson SG	AMP UK 50 JP/Drive	35dd399a-325b-81b5-b417-ca919d74af2d
AC_DC - You Shook Me All Night Long.gp	AC_DC	You Shook Me All Night Long	12-13-2025	1980	Rock	Les deux	AMP UK 50 JP/Drive	35dd399a-325b-8157-9a50-cc856e110fe6
Accept - Balls To The Wall.gp	Accept	Balls To The Wall	02-11-2026	-	-	-	-	-
Adele - Rolling In The Deep.gp	Adele	Rolling In The Deep	10-15-2025	2010	Pop|R&B	Les deux	AMP unknown	f358aac4-a3ff-42f1-9ef6-b862b6d01efb
Adele - Someone Like You.gp	Adele	Someone Like You	08-11-2024	2011	Pop	Acoustique	-	272f9fe6-b9c5-431d-8e61-f2dca309da08
Aerosmith - Back In The Saddle.gp	Aerosmith	Back In The Saddle	10-16-2024	1976	Rock	Gibson SG	AMP UK 45/Drive	35dd399a-325b-81f3-ba35-fa87add1b044
Aerosmith - Crazy.gp	Aerosmith	Crazy	03-16-2026	1993	Rock	Les deux	AMP UK 50 JP/Drive	35dd399a-325b-811d-8897-e1300f97dcec
Aerosmith - Cryin'.gp	Aerosmith	Cryin'	04-24-2026	1993	Rock	Gibson SG	AMP UK 50 JP/Drive	35dd399a-325b-8108-9145-e98dc0b20af5
Aerosmith - Dream On.gp	Aerosmith	Dream On	01-17-2026	-	-	-	-	-
Aerosmith - Janie's Got A Gun.gp	Aerosmith	Janie's Got A Gun	02-08-2024	-	-	-	-	-
Aerosmith - Last Child.gp	Aerosmith	Last Child	03-01-2025	1976	Rock	Gibson SG	AMP UK 45/Drive	35dd399a-325b-81ae-afc4-cc05d6400a01
Aerosmith - Love In An Elevator.gp	Aerosmith	Love In An Elevator	04-04-2026	1989	Rock	Les deux	AMP UK 50 JP/Drive	35dd399a-325b-8103-974b-f921fbc3496b
Aerosmith - Mama Kin.gp	Aerosmith	Mama Kin	01-21-2026	1973	Rock	Gibson SG	AMP UK 45/Drive	35dd399a-325b-815b-ab2f-eb2015e536cf
Aerosmith - Same Old Song And Dance.gp	Aerosmith	Same Old Song And Dance	03-09-2025	1974	Rock	Gibson SG	AMP UK 45/Drive	35dd399a-325b-81ba-a0d3-e3d40f871fb3
Aerosmith - Sweet Emotion.gp	Aerosmith	Sweet Emotion	04-24-2026	-	-	-	-	-
Aerosmith - Toys In The Attic.gp	Aerosmith	Toys In The Attic	12-30-2011	1975	Rock	Gibson SG	AMP UK 50 JP/Drive	35dd399a-325b-81cc-8c56-e411041fcab5
Aerosmith - Walk This Way.gp	Aerosmith	Walk This Way	03-18-2026	-	-	-	-	-
Al Green - Let's Stay Together.gp	Al Green	Let's Stay Together	09-30-2024	-	-	-	-	-
Alabama Shakes - Dont Wanna Fight.gp	Alabama Shakes	Dont Wanna Fight	11-05-2025	-	-	-	-	-
Alabama Shakes - Hold On.gp	Alabama Shakes	Hold On	04-25-2018	-	-	-	-	-
Alain Bashung - Gaby.gp	Alain Bashung	Gaby	04-24-2025	-	-	-	-	-
Alain Bashung - La Nuit Je Mens.gp	Alain Bashung	La Nuit Je Mens	03-21-2026	-	-	-	-	-
Alain Bashung - Osez Joséphine.gp	Alain Bashung	Osez Joséphine	08-11-2009	-	-	-	-	-
